userId,movieId,rating,timestamp,rating_normalized
2,17,5.0,835355681,1.0
2,62,3.0,835355749,0.5555555555555556
2,110,4.0,835355532,0.7777777777777778
2,144,3.0,835356016,0.5555555555555556
2,150,5.0,835355395,1.0
2,153,4.0,835355441,0.7777777777777778
2,161,3.0,835355493,0.5555555555555556
2,165,3.0,835355441,0.5555555555555556
2,168,3.0,835355710,0.5555555555555556
2,185,3.0,835355511,0.5555555555555556
2,186,3.0,835355664,0.5555555555555556
2,222,5.0,835355840,1.0
2,223,1.0,835355749,0.1111111111111111
2,225,3.0,835355552,0.5555555555555556
2,235,3.0,835355664,0.5555555555555556
2,248,3.0,835355896,0.5555555555555556
2,253,4.0,835355511,0.7777777777777778
2,261,4.0,835355681,0.7777777777777778
2,265,5.0,835355697,1.0
2,266,5.0,835355586,1.0
2,272,3.0,835355767,0.5555555555555556
2,273,4.0,835355779,0.7777777777777778
2,292,3.0,835355492,0.5555555555555556
2,296,4.0,835355395,0.7777777777777778
2,300,3.0,835355532,0.5555555555555556
2,314,4.0,835356044,0.7777777777777778
2,317,2.0,835355551,0.3333333333333333
2,319,1.0,835355918,0.1111111111111111
2,339,3.0,835355492,0.5555555555555556
2,350,4.0,835355697,0.7777777777777778
2,364,3.0,835355604,0.5555555555555556
2,377,3.0,835355710,0.5555555555555556
2,405,2.0,835356246,0.3333333333333333
2,410,3.0,835355532,0.5555555555555556
2,454,4.0,835355604,0.7777777777777778
2,468,4.0,835355790,0.7777777777777778
2,497,3.0,835355880,0.5555555555555556
2,500,4.0,835355731,0.7777777777777778
2,509,4.0,835355719,0.7777777777777778
2,527,4.0,835355731,0.7777777777777778
2,537,4.0,835356199,0.7777777777777778
2,550,3.0,835356109,0.5555555555555556
2,551,5.0,835355767,1.0
2,552,3.0,835355860,0.5555555555555556
2,585,5.0,835355817,1.0
2,586,3.0,835355790,0.5555555555555556
2,587,3.0,835355779,0.5555555555555556
2,588,3.0,835355441,0.5555555555555556
2,590,5.0,835355395,1.0
2,592,5.0,835355395,1.0
2,593,3.0,835355511,0.5555555555555556
2,616,3.0,835355932,0.5555555555555556
2,661,4.0,835356141,0.7777777777777778
3,110,4.0,1298922049,0.7777777777777778
3,247,3.5,1298861637,0.6666666666666666
3,267,3.0,1298861761,0.5555555555555556
3,296,4.5,1298862418,0.8888888888888888
